Run,Escenario,Tamano,Probabilidad,Exito,Explorados,Pasos,Costo,Tiempo,Camino
11,1,100,0.92,1,4075,65,64,0.012075662612915039,"[(13, 74), (13, 73), (13, 72), (13, 71), (13, 70), (13, 69), (13, 68), (13, 67), (13, 66), (13, 65), (13, 64), (13, 63), (14, 63), (14, 62), (14, 61), (15, 61), (15, 60), (15, 59), (15, 58), (15, 57), (15, 56), (15, 55), (15, 54), (15, 53), (15, 52), (15, 51), (15, 50), (15, 49), (15, 48), (16, 48), (16, 47), (16, 46), (16, 45), (16, 44), (17, 44), (18, 44), (18, 43), (18, 42), (18, 41), (18, 40), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (26, 39), (27, 39), (28, 39), (29, 39), (30, 39), (31, 39), (32, 39), (33, 39), (34, 39), (35, 39), (36, 39), (37, 39), (37, 38), (38, 38), (39, 38), (40, 38), (41, 38)]"
11,2,100,0.92,1,3899,65,316,0.011985301971435547,"[(13, 74), (13, 73), (13, 72), (13, 71), (13, 70), (13, 69), (13, 68), (13, 67), (13, 66), (13, 65), (13, 64), (13, 63), (14, 63), (14, 62), (14, 61), (15, 61), (15, 60), (15, 59), (15, 58), (15, 57), (15, 56), (15, 55), (15, 54), (15, 53), (15, 52), (15, 51), (15, 50), (15, 49), (15, 48), (16, 48), (16, 47), (16, 46), (16, 45), (16, 44), (17, 44), (18, 44), (18, 43), (18, 42), (18, 41), (18, 40), (18, 39), (19, 39), (20, 39), (21, 39), (22, 39), (23, 39), (24, 39), (25, 39), (26, 39), (27, 39), (28, 39), (29, 39), (30, 39), (31, 39), (32, 39), (33, 39), (34, 39), (35, 39), (36, 39), (37, 39), (37, 38), (38, 38), (39, 38), (40, 38), (41, 38)]"
12,1,100,0.92,1,2950,58,57,0.007516145706176758,"[(96, 31), (95, 31), (94, 31), (94, 32), (94, 33), (94, 34), (94, 35), (93, 35), (93, 36), (93, 37), (93, 38), (93, 39), (93, 40), (93, 41), (93, 42), (93, 43), (93, 44), (93, 45), (93, 46), (93, 47), (93, 48), (93, 49), (93, 50), (93, 51), (93, 52), (93, 53), (93, 54), (93, 55), (93, 56), (93, 57), (93, 58), (93, 59), (93, 60), (93, 61), (93, 62), (93, 63), (93, 64), (93, 65), (93, 66), (93, 67), (93, 68), (93, 69), (93, 70), (93, 71), (93, 72), (93, 73), (93, 74), (93, 75), (93, 76), (94, 76), (94, 77), (94, 78), (93, 78), (93, 79), (93, 80), (93, 81), (93, 82), (93, 83)]"
12,2,100,0.92,1,934,58,102,0.002348661422729492,"[(96, 31), (96, 32), (96, 33), (95, 33), (95, 34), (95, 35), (95, 36), (95, 37), (95, 38), (95, 39), (95, 40), (95, 41), (95, 42), (95, 43), (95, 44), (95, 45), (95, 46), (95, 47), (95, 48), (95, 49), (95, 50), (95, 51), (95, 52), (95, 53), (95, 54), (95, 55), (95, 56), (95, 57), (95, 58), (95, 59), (95, 60), (96, 60), (96, 61), (96, 62), (96, 63), (96, 64), (96, 65), (96, 66), (96, 67), (96, 68), (96, 69), (96, 70), (96, 71), (96, 72), (96, 73), (96, 74), (96, 75), (96, 76), (96, 77), (96, 78), (96, 79), (96, 80), (96, 81), (96, 82), (96, 83), (95, 83), (94, 83), (93, 83)]"
13,1,100,0.92,1,3742,51,50,0.011089086532592773,"[(25, 32), (25, 33), (25, 34), (25, 35), (25, 36), (25, 37), (25, 38), (25, 39), (25, 40), (25, 41), (26, 41), (26, 42), (26, 43), (26, 44), (27, 44), (27, 45), (27, 46), (27, 47), (27, 48), (27, 49), (27, 50), (28, 50), (29, 50), (30, 50), (31, 50), (32, 50), (33, 50), (34, 50), (35, 50), (36, 50), (37, 50), (38, 50), (39, 50), (40, 50), (41, 50), (42, 50), (43, 50), (44, 50), (45, 50), (46, 50), (47, 50), (48, 50), (49, 50), (50, 50), (51, 50), (52, 50), (53, 50), (54, 50), (55, 50), (55, 51), (56, 51)]"
13,2,100,0.92,1,5136,51,329,0.01661968231201172,"[(25, 32), (25, 33), (25, 34), (25, 35), (25, 36), (25, 37), (25, 38), (25, 39), (25, 40), (25, 41), (26, 41), (26, 42), (26, 43), (26, 44), (27, 44), (27, 45), (27, 46), (27, 47), (27, 48), (27, 49), (27, 50), (28, 50), (29, 50), (30, 50), (31, 50), (32, 50), (33, 50), (34, 50), (35, 50), (36, 50), (37, 50), (38, 50), (39, 50), (40, 50), (41, 50), (42, 50), (43, 50), (44, 50), (45, 50), (46, 50), (47, 50), (48, 50), (49, 50), (50, 50), (51, 50), (52, 50), (53, 50), (54, 50), (55, 50), (55, 51), (56, 51)]"
14,1,100,0.92,1,1615,42,41,0.00427556037902832,"[(4, 76), (4, 77), (5, 77), (6, 77), (7, 77), (8, 77), (9, 77), (10, 77), (11, 77), (12, 77), (13, 77), (14, 77), (15, 77), (15, 78), (16, 78), (17, 78), (18, 78), (19, 78), (20, 78), (21, 78), (22, 78), (23, 78), (24, 78), (25, 78), (26, 78), (27, 78), (28, 78), (29, 78), (29, 79), (30, 79), (31, 79), (32, 79), (33, 79), (34, 79), (35, 79), (36, 79), (37, 79), (38, 79), (39, 79), (40, 79), (41, 79), (42, 79)]"
14,2,100,0.92,1,3676,42,383,0.011513471603393555,"[(4, 76), (4, 77), (5, 77), (6, 77), (7, 77), (8, 77), (9, 77), (10, 77), (11, 77), (12, 77), (13, 77), (14, 77), (15, 77), (15, 78), (16, 78), (17, 78), (18, 78), (19, 78), (20, 78), (21, 78), (22, 78), (23, 78), (24, 78), (25, 78), (26, 78), (27, 78), (28, 78), (29, 78), (29, 79), (30, 79), (31, 79), (32, 79), (33, 79), (34, 79), (35, 79), (36, 79), (37, 79), (38, 79), (39, 79), (40, 79), (41, 79), (42, 79)]"
15,1,100,0.92,1,1041,36,35,0.0023763179779052734,"[(86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (74, 3), (73, 3), (73, 2), (72, 2), (71, 2), (70, 2), (69, 2), (68, 2), (67, 2), (66, 2), (65, 2), (64, 2), (63, 2), (62, 2), (61, 2), (60, 2), (59, 2), (58, 2), (57, 2), (56, 2), (55, 2), (54, 2), (53, 2), (53, 3)]"
15,2,100,0.92,1,3885,36,332,0.010544300079345703,"[(86, 3), (85, 3), (84, 3), (83, 3), (82, 3), (81, 3), (80, 3), (79, 3), (78, 3), (77, 3), (76, 3), (75, 3), (74, 3), (73, 3), (73, 2), (72, 2), (71, 2), (71, 3), (70, 3), (69, 3), (68, 3), (67, 3), (66, 3), (65, 3), (64, 3), (63, 3), (62, 3), (61, 3), (60, 3), (59, 3), (58, 3), (57, 3), (56, 3), (55, 3), (54, 3), (53, 3)]"
