n,algorithm,seed,success,time,nodes,solution
8,forward_checking,2,1,0.00011301040649414062,20,"[2, 0, 6, 4, 7, 1, 3, 5]"
8,forward_checking,3,1,5.459785461425781e-05,11,"[4, 1, 3, 6, 2, 7, 5, 0]"
8,forward_checking,4,1,0.00022673606872558594,17,"[3, 0, 4, 7, 5, 2, 6, 1]"
8,forward_checking,5,1,8.320808410644531e-05,15,"[6, 2, 7, 1, 4, 0, 5, 3]"
8,forward_checking,6,1,0.00045871734619140625,75,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,forward_checking,7,1,3.361701965332031e-05,8,"[2, 5, 7, 0, 4, 6, 1, 3]"
8,forward_checking,8,1,7.867813110351562e-05,15,"[0, 6, 3, 5, 7, 1, 4, 2]"
8,forward_checking,9,1,4.315376281738281e-05,9,"[7, 1, 3, 0, 6, 4, 2, 5]"
8,forward_checking,10,1,3.8623809814453125e-05,8,"[2, 7, 3, 6, 0, 5, 1, 4]"
8,forward_checking,11,1,0.00010657310485839844,20,"[3, 0, 4, 7, 1, 6, 2, 5]"
8,forward_checking,12,1,8.320808410644531e-05,16,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,forward_checking,13,1,6.961822509765625e-05,14,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,forward_checking,14,1,3.62396240234375e-05,8,"[4, 1, 3, 5, 7, 2, 0, 6]"
8,forward_checking,15,1,0.00011610984802246094,21,"[6, 0, 2, 7, 5, 3, 1, 4]"
8,forward_checking,16,1,3.314018249511719e-05,8,"[3, 6, 4, 1, 5, 0, 2, 7]"
8,forward_checking,17,1,7.605552673339844e-05,15,"[2, 0, 6, 4, 7, 1, 3, 5]"
8,forward_checking,18,1,0.00010561943054199219,20,"[5, 1, 6, 0, 3, 7, 4, 2]"
8,forward_checking,19,1,5.7697296142578125e-05,12,"[7, 1, 4, 2, 0, 6, 3, 5]"
8,forward_checking,20,1,6.842613220214844e-05,14,"[7, 2, 0, 5, 1, 4, 6, 3]"
8,forward_checking,21,1,0.00011801719665527344,22,"[2, 7, 3, 6, 0, 5, 1, 4]"
8,forward_checking,22,1,0.00010609626770019531,19,"[7, 2, 0, 5, 1, 4, 6, 3]"
