size,dirt_rate,run,performance,total_actions,execution_time,successful_actions,success_rate,agent_class,strategy,seed
16x16,0.2,6,17,1000,15.436050415039062,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,7,17,1000,14.275100469589233,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,8,17,1000,15.771328687667847,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,9,17,1000,16.35365891456604,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.2,10,17,1000,16.861884832382202,1000,1.0,RandomAgent,Elige acciones al azar,12358
16x16,0.4,1,37,1000,17.382058143615723,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,2,37,1000,16.62704062461853,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,3,37,1000,17.133957862854004,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,4,37,1000,15.241825342178345,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,5,37,1000,14.278753280639648,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,6,37,1000,13.04021692276001,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,7,37,1000,16.385028839111328,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,8,37,1000,12.755096912384033,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,9,37,1000,11.18020510673523,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.4,10,37,1000,11.283776760101318,1000,1.0,RandomAgent,Elige acciones al azar,12359
16x16,0.8,1,63,1000,16.34746503829956,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,2,63,1000,14.474421262741089,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,3,63,1000,11.644864797592163,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,4,63,1000,12.614933013916016,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,5,63,1000,12.539807319641113,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,6,63,1000,12.32829737663269,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,7,63,1000,14.069261312484741,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,8,63,1000,16.49954056739807,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,9,63,1000,20.992177963256836,1000,1.0,RandomAgent,Elige acciones al azar,12360
16x16,0.8,10,63,1000,21.681196928024292,1000,1.0,RandomAgent,Elige acciones al azar,12360
32x32,0.1,1,9,1000,18.50371813774109,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,2,9,1000,19.06422710418701,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,3,9,1000,19.753516674041748,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,4,9,1000,21.504880905151367,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,5,9,1000,21.02881932258606,1000,1.0,RandomAgent,Elige acciones al azar,12361
32x32,0.1,6,9,1000,21.0488703250885,1000,1.0,RandomAgent,Elige acciones al azar,12361
